"5";"PcAtendimento";"TPageControl";"pnlPrincipal";"0";"0";"0";"1898";"";"";"";
"30";"DBCheckBox77";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"200";"120";"Parestesias";"DsCervical";"PARESTESIA";
"31";"DBCheckBox78";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"200";"120";"Direito";"DsCervical";"PARESTESIA_D";
"32";"DBCheckBox79";"TDBCheckBox";"SbServicalMembrosSuperiores";"394";"394";"200";"193";"Esquerdo";"DsCervical";"PARESTESIA_E";
"33";"DBCheckBox80";"TDBCheckBox";"SbServicalMembrosSuperiores";"570";"570";"199";"79";"Bilateral";"DsCervical";"PARESTESIA_BILATERAL";
"34";"PhiDBEdit21";"TDBEdit";"SbServicalMembrosSuperiores";"559";"559";"11";"285";"";"DsCervical";"DORCE_DOROMBRO_OBS";
"35";"PhiDBEdit22";"TDBEdit";"SbServicalMembrosSuperiores";"175";"175";"50";"371";"";"DsCervical";"HERNIACERVICAL_OBS";
"36";"DBCheckBox64";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"230";"120";"Taquicardias";"DsCervical";"TAQUICARDIA";
"37";"DBCheckBox71";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"230";"120";"Disrritmias";"DsCervical";"TAQUICARDIA_DISRRITMIA";
"38";"DBCheckBox332";"TDBCheckBox";"SbServicalMembrosSuperiores";"394";"394";"230";"120";"Palpitações";"DsCervical";"TAQUICARDIA_PALPITACAO";
"39";"DBCheckBox199";"TDBCheckBox";"SbServicalMembrosSuperiores";"10";"10";"140";"146";"Dores nas Mãos";"DsCervical";"DORMAO";
"40";"DBCheckBox200";"TDBCheckBox";"SbServicalMembrosSuperiores";"175";"175";"140";"140";"Direiro";"DsCervical";"DORMAO_D";
"41";"DBCheckBox201";"TDBCheckBox";"SbServicalMembrosSuperiores";"394";"394";"140";"218";"Esquerdo";"DsCervical";"DORMAO_E";
"42";"DBCheckBox202";"TDBCheckBox";"SbServicalMembrosSuperiores";"570";"570";"139";"79";"Bilateral";"DsCervical";"DORMAO_BILATERAL";
"43";"DBAdvMemo2";"TDBAdvMemo";"SbServicalMembrosSuperiores";"5";"5";"461";"839";"";"DsCervical";"DS_OBS";
"44";"";"TScrollBar";"DBAdvMemo2";"838";"838";"0";"16";"";"";"";
"45";"";"TScrollBar";"DBAdvMemo2";"0";"0";"0";"121";"";"";"";
"44";"PhiDBEdit77";"TDBEdit";"SbServicalMembrosSuperiores";"10";"10";"275";"824";"";"DsCervical";"DS_CIRURGIA";
"45";"PhiDBEdit78";"TDBEdit";"SbServicalMembrosSuperiores";"10";"10";"332";"824";"";"DsCervical";"DS_FRATURA";
"46";"PhiDBEdit79";"TDBEdit";"SbServicalMembrosSuperiores";"10";"10";"394";"824";"";"DsCervical";"DS_LUXACAO";
"8";"TabTronco";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Tronco";"";"";
"9";"sbTronco";"TScrollBox";"TabTronco";"0";"0";"0";"1890";"";"";"";
"10";"Label20";"TLabel";"sbTronco";"308";"308";"-90";"44";"tempo";"";"";
"11";"Label21";"TLabel";"sbTronco";"690";"690";"-90";"44";"tempo";"";"";
"12";"Label23";"TLabel";"sbTronco";"690";"690";"-60";"44";"tempo";"";"";
"13";"Label25";"TLabel";"sbTronco";"690";"690";"-31";"44";"tempo";"";"";
"14";"Label26";"TLabel";"sbTronco";"169";"169";"79";"26";"tipo";"";"";
"15";"Label27";"TLabel";"sbTronco";"690";"690";"79";"44";"tempo";"";"";
"16";"Label28";"TLabel";"sbTronco";"532";"532";"108";"26";"tipo";"";"";
"17";"Label29";"TLabel";"sbTronco";"193";"193";"143";"30";"Tipo";"";"";
"18";"Label30";"TLabel";"sbTronco";"690";"690";"143";"44";"tempo";"";"";
"19";"Label32";"TLabel";"sbTronco";"690";"690";"356";"44";"tempo";"";"";
"20";"Label77";"TLabel";"sbTronco";"690";"690";"202";"44";"tempo";"";"";
"21";"Label16";"TLabel";"sbTronco";"11";"11";"383";"73";"frequência";"";"";
"22";"Label24";"TLabel";"sbTronco";"5";"5";"424";"169";"Observação (4000 char)";"";"";
"23";"Label96";"TLabel";"sbTronco";"85";"85";"29";"30";"Tipo";"";"";
"24";"Label97";"TLabel";"sbTronco";"690";"690";"29";"44";"tempo";"";"";
"25";"Label98";"TLabel";"sbTronco";"690";"690";"233";"44";"tempo";"";"";
"26";"Label99";"TLabel";"sbTronco";"85";"85";"233";"30";"Tipo";"";"";
"27";"DBCheckBox92";"TDBCheckBox";"sbTronco";"16";"16";"-359";"120";"dores torácicas";"DsTronco";"DORTORACICA";
"28";"DBCheckBox93";"TDBCheckBox";"sbTronco";"176";"176";"-359";"120";"nevralgias";"DsTronco";"DORTO_NEVRALGIA";
"29";"DBCheckBox94";"TDBCheckBox";"sbTronco";"324";"324";"-359";"201";"dificuldades inspiratória";"DsTronco";"DORTO_DIFICULINSPIRATORIA";
"30";"DBCheckBox95";"TDBCheckBox";"sbTronco";"661";"661";"-359";"181";"dificuldade expiratória";"DsTronco";"DORTO_DIFICULEXPIRATORIA";
"31";"DBCheckBox97";"TDBCheckBox";"sbTronco";"16";"16";"-331";"208";"dores a rotação do tronco";"DsTronco";"DORROTACAOTRONCO";
"32";"DBCheckBox98";"TDBCheckBox";"sbTronco";"324";"324";"-331";"48";"D";"DsTronco";"DORRO_D";
"33";"DBCheckBox99";"TDBCheckBox";"sbTronco";"382";"382";"-331";"51";"E";"DsTronco";"DORRO_E";
"34";"DBCheckBox100";"TDBCheckBox";"sbTronco";"661";"661";"-331";"83";"bilateral";"DsTronco";"DORRO_BILATERAL";
"35";"DBCheckBox102";"TDBCheckBox";"sbTronco";"16";"16";"-302";"208";"dores na região inguinal";"DsTronco";"DORREGIAOINGUINAL";
"36";"DBCheckBox103";"TDBCheckBox";"sbTronco";"324";"324";"-302";"206";"dores em sínfise púbica";"DsTronco";"DORRE_DORSINFISEPUB";
"37";"DBCheckBox107";"TDBCheckBox";"sbTronco";"16";"16";"-273";"188";"Dores lombares altas";"DsTronco";"DORLOMBARALTA";
"38";"DBCheckBox108";"TDBCheckBox";"sbTronco";"242";"242";"-273";"148";"lombares médias";"DsTronco";"DORLO_LOMBARMEDIA";
"39";"DBCheckBox109";"TDBCheckBox";"sbTronco";"414";"414";"-273";"149";"lombares baixas";"DsTronco";"DORLO_LOMBARBAIXA";
"40";"DBCheckBox110";"TDBCheckBox";"sbTronco";"581";"581";"-273";"120";"hérnia discal";"DsTronco";"DORLO_HERNIADISCAL";
"41";"DBCheckBox112";"TDBCheckBox";"sbTronco";"16";"16";"-244";"120";"fraturas";"DsTronco";"FRATURA";
"42";"DBCheckBox113";"TDBCheckBox";"sbTronco";"176";"176";"-244";"83";"costelas";"DsTronco";"COSTELAS";
"43";"DBCheckBox115";"TDBCheckBox";"sbTronco";"539";"539";"-244";"120";"vértebras";"DsTronco";"VERTEBRAS";
"44";"DBCheckBox117";"TDBCheckBox";"sbTronco";"16";"16";"-216";"158";"cirurgias no tronco";"DsTronco";"CIRURGIATRONCO";
"45";"DBCheckBox122";"TDBCheckBox";"sbTronco";"16";"16";"-187";"154";"dores abdominais";"DsTronco";"DORABDOMINAL";
"46";"DBCheckBox123";"TDBCheckBox";"sbTronco";"176";"176";"-187";"48";"D";"DsTronco";"DORABDOMINAL_D";
"47";"DBCheckBox124";"TDBCheckBox";"sbTronco";"252";"252";"-187";"42";"E";"DsTronco";"DORABDOMINAL_E";
"48";"DBCheckBox125";"TDBCheckBox";"sbTronco";"324";"324";"-187";"86";"bilateral";"DsTronco";"DORABDOMINAL_BILATERAL";
"49";"DBCheckBox126";"TDBCheckBox";"sbTronco";"523";"523";"-187";"89";"superior";"DsTronco";"DORABDOMINAL_SUPERIOR";
"50";"DBCheckBox128";"TDBCheckBox";"sbTronco";"176";"176";"-122";"120";"pirose";"DsTronco";"ALTERACAOGASTRICA_PIROSE";
"51";"DBCheckBox129";"TDBCheckBox";"sbTronco";"324";"324";"-122";"53";"RGE";"DsTronco";"ALTERACAOGASTRICA_RGE";
"52";"DBCheckBox130";"TDBCheckBox";"sbTronco";"443";"443";"-122";"113";"esofagites";"DsTronco";"ALTERACAOGASTRICA_ESOFAGITE";
"53";"PhiDBEdit31";"TDBEdit";"sbTronco";"712";"712";"-282";"130";"";"DsTronco";"DORLO_HERNIADISCAL_OBS";
"54";"PhiDBEdit32";"TDBEdit";"sbTronco";"324";"324";"-253";"130";"";"DsTronco";"COSTELAS_OBS";
"55";"PhiDBEdit33";"TDBEdit";"sbTronco";"712";"712";"-253";"130";"";"DsTronco";"VERTEBRAS_OBS";
"56";"PhiDBEdit34";"TDBEdit";"sbTronco";"176";"176";"-225";"666";"";"DsTronco";"CIRURGIATRONCO_OBS";
"57";"DBCheckBox44";"TDBCheckBox";"sbTronco";"16";"16";"-89";"104";"eructação";"DsTronco";"ERUCTACAO";
"58";"DBCheckBox49";"TDBCheckBox";"sbTronco";"176";"176";"-89";"129";"úlcera gástrica /";"DsTronco";"ERUCTACAO_ULCERAGASTRICA";
"59";"DBCheckBox56";"TDBCheckBox";"sbTronco";"443";"443";"-89";"120";"hérnia hiatal";"DsTronco";"ERUCTACAO_HERNIAHIATAL";
"60";"DBCheckBox76";"TDBCheckBox";"sbTronco";"607";"607";"-89";"82";"cirurgia/";"DsTronco";"ERUCTACAO_CIRURGIA";
"61";"DBCheckBox81";"TDBCheckBox";"sbTronco";"16";"16";"-59";"207";"alterações cardíacas / tipo";"DsTronco";"ALTERACAOCARDIACA";
"62";"DBCheckBox88";"TDBCheckBox";"sbTronco";"18";"18";"-31";"218";"alterações pulmonares / tipo";"DsTronco";"ALTERACAOPULMONAR";
"63";"DBCheckBox101";"TDBCheckBox";"sbTronco";"16";"16";"-1";"108";"bronquite";"DsTronco";"BRONQUITE";
"64";"DBCheckBox105";"TDBCheckBox";"sbTronco";"229";"229";"-1";"114";"pneumonia";"DsTronco";"BRONQUITE_PNEUMONIA";
"65";"DBCheckBox111";"TDBCheckBox";"sbTronco";"786";"786";"-1";"56";"asma";"DsTronco";"BRONQUITE_ASMA";
"66";"DBCheckBox114";"TDBCheckBox";"sbTronco";"16";"16";"52";"132";"cálculos renais";"DsTronco";"CALCULORENAL";
"67";"DBCheckBox116";"TDBCheckBox";"sbTronco";"229";"229";"52";"131";"cólicas renais";"DsTronco";"CALCULORENAL_COLICARENAL";
"68";"DBCheckBox118";"TDBCheckBox";"sbTronco";"443";"443";"52";"120";"cistos renais";"DsTronco";"CALCULORENAL_CISTORENAL";
"69";"DBCheckBox121";"TDBCheckBox";"sbTronco";"16";"16";"80";"154";"patologias renais /";"DsTronco";"PATOLOGIARENAL";
"70";"DBCheckBox338";"TDBCheckBox";"sbTronco";"756";"756";"-187";"86";"inferior";"DsTronco";"DORABDOMINAL_INFERIOR";
"71";"DBCheckBox339";"TDBCheckBox";"sbTronco";"756";"756";"-122";"67";"tosse";"DsTronco";"ALTERACAOGASTRICA_TOSSE";
"72";"PhiDBEdit35";"TDBEdit";"sbTronco";"358";"358";"-98";"70";"";"DsTronco";"ERUCT_TEMPO";
"73";"PhiDBEdit36";"TDBEdit";"sbTronco";"741";"741";"-98";"101";"";"DsTronco";"ERUCTACAO_CIRURGIA_TEMPO";
"74";"PhiDBEdit37";"TDBEdit";"sbTronco";"242";"242";"-68";"417";"";"DsTronco";"ALTERACAOCARDIACA_TIPO";
"75";"PhiDBEdit38";"TDBEdit";"sbTronco";"741";"741";"-68";"101";"";"DsTronco";"ALTERACAOCARDIACA_TEMPO";
"76";"PhiDBEdit39";"TDBEdit";"sbTronco";"242";"242";"-39";"417";"";"DsTronco";"ALTERACAOPULMONAR_TIPO";
"77";"PhiDBEdit40";"TDBEdit";"sbTronco";"741";"741";"-39";"101";"";"DsTronco";"ALTERACAOPULMONAR_TEMPO";
"78";"PhiDBEdit42";"TDBEdit";"sbTronco";"336";"336";"-10";"506";"";"DsTronco";"BRONQUITE_PNEUMONIA_OBS";
"79";"DBCheckBox55";"TDBCheckBox";"sbTronco";"16";"16";"109";"165";"esteatose hepáticas";"DsTronco";"ESTEATOSEHEPATICA";
"80";"DBCheckBox83";"TDBCheckBox";"sbTronco";"229";"229";"109";"139";"cirrose hepática";"DsTronco";"ESTEA_CIRROSEHEPATI";
"81";"DBCheckBox84";"TDBCheckBox";"sbTronco";"443";"443";"109";"89";"hepatite /";"DsTronco";"ESTEA_HEPATITE";
"82";"DBCheckBox89";"TDBCheckBox";"sbTronco";"16";"16";"144";"174";"patologias hepáticas /";"DsTronco";"PATOLOGIAHEPATICA";
"83";"DBCheckBox106";"TDBCheckBox";"sbTronco";"16";"16";"261";"181";"constipação intestinal";"DsTronco";"CONSTIPACAOINTEST";
"84";"DBCheckBox119";"TDBCheckBox";"sbTronco";"229";"229";"261";"120";"diarréias";"DsTronco";"CONST_DIARREIA";
"85";"DBCheckBox120";"TDBCheckBox";"sbTronco";"443";"443";"261";"120";"flautulências";"DsTronco";"CONST_FLAUTULENCIA";
"86";"DBCheckBox342";"TDBCheckBox";"sbTronco";"16";"16";"290";"108";"evacuação";"DsTronco";"EVACUACAO";
"87";"DBCheckBox343";"TDBCheckBox";"sbTronco";"175";"175";"290";"95";"1 vez dia";"DsTronco";"EVACUACAO_1XDIA";
"88";"DBCheckBox344";"TDBCheckBox";"sbTronco";"323";"323";"290";"120";"2-3 vez/dia";"DsTronco";"EVACUACAO_2_3XDIA";
"89";"DBCheckBox345";"TDBCheckBox";"sbTronco";"448";"448";"290";"141";"dias alternados";"DsTronco";"EVACUACAO_DIAALTERNADO";
"90";"DBCheckBox346";"TDBCheckBox";"sbTronco";"607";"607";"290";"108";"2-3 semana";"DsTronco";"EVACUACAO_2_3SEMANA";
"91";"DBCheckBox347";"TDBCheckBox";"sbTronco";"16";"16";"319";"153";"pólipos intestinais";"DsTronco";"POLIPOINTESTINAL";
"92";"DBCheckBox348";"TDBCheckBox";"sbTronco";"175";"175";"322";"102";"divertículos";"DsTronco";"POLIP_DIVERTICULO";
"93";"DBCheckBox349";"TDBCheckBox";"sbTronco";"323";"323";"322";"156";"infecções urinárias";"DsTronco";"POLIP_INFECCAOURINAR";
"94";"DBCheckBox352";"TDBCheckBox";"sbTronco";"16";"16";"354";"207";"cirurgias abdominais/ tipo";"DsTronco";"CIRURGIAABDOMINAL";
"95";"PhiDBEdit43";"TDBEdit";"sbTronco";"229";"229";"71";"430";"";"DsTronco";"PATOLOGIARENAL_TIPO";
"96";"PhiDBEdit44";"TDBEdit";"sbTronco";"741";"741";"71";"101";"";"DsTronco";"PATOLOGIARENAL_TEMPO";
"97";"PhiDBEdit45";"TDBEdit";"sbTronco";"564";"564";"100";"278";"";"DsTronco";"ESTEA_HEPATITE_TIPO";
"98";"PhiDBEdit46";"TDBEdit";"sbTronco";"229";"229";"135";"430";"";"DsTronco";"PATOLOGIAHEPATICA_TIPO";
"99";"PhiDBEdit47";"TDBEdit";"sbTronco";"741";"741";"135";"101";"";"DsTronco";"PATOLOGIAHEPATICA_TEMPO";
"100";"DBCheckBox85";"TDBCheckBox";"sbTronco";"773";"773";"290";"69";"menos";"DsTronco";"EVACUACAO_MENOS";
"101";"PhiDBEdit48";"TDBEdit";"sbTronco";"230";"230";"348";"374";"";"DsTronco";"CIRUR_TIPO";
"102";"PhiDBEdit49";"TDBEdit";"sbTronco";"740";"740";"348";"101";"";"DsTronco";"CIRUR_TEMPO";
"103";"DBCheckBox203";"TDBCheckBox";"sbTronco";"607";"607";"-122";"99";"Gastrite";"DsTronco";"GASTRITE";
"104";"DBCheckBox204";"TDBCheckBox";"sbTronco";"16";"16";"203";"234";"patologias Pancreáticas / Tipo";"DsTronco";"PATOLOGIAPANCREATICA";
"105";"PhiDBEdit114";"TDBEdit";"sbTronco";"256";"256";"194";"348";"";"DsTronco";"PATOLO_TIPO";
"106";"PhiDBEdit115";"TDBEdit";"sbTronco";"740";"740";"197";"101";"";"DsTronco";"PATOLO_TEMPO";
"107";"DBCheckBox82";"TDBCheckBox";"sbTronco";"229";"229";"174";"282";"patologias da vesícula biliar / cirurgia";"DsTronco";"IND_PATOLOGIAVESICULABILIAR";
"108";"edtCirurgia";"TDBEdit";"sbTronco";"510";"510";"165";"332";"";"DsTronco";"V_CIRURGIA";
"109";"edtFrequencia";"TDBEdit";"sbTronco";"100";"100";"375";"742";"";"DsTronco";"V_FREQUENCIA";
"110";"DBAdvMemo3";"TDBAdvMemo";"sbTronco";"5";"5";"447";"839";"";"DsTronco";"DS_OBS";
"111";"";"TScrollBar";"DBAdvMemo3";"838";"838";"0";"16";"";"";"";
"112";"";"TScrollBar";"DBAdvMemo3";"0";"0";"0";"121";"";"";"";
"111";"DBCheckBox223";"TDBCheckBox";"sbTronco";"16";"16";"-155";"154";"Alteração gástrica";"DsTronco";"ALTERACAOGASTRICA";
"112";"PhiDBEdit119";"TDBEdit";"sbTronco";"176";"176";"-160";"666";"";"DsTronco";"ALTERACAOGASTRICA_OBS";
"113";"DBCheckBox224";"TDBCheckBox";"sbTronco";"16";"16";"30";"71";"baço /";"DsTronco";"BACO";
"114";"PhiDBEdit91";"TDBEdit";"sbTronco";"130";"130";"21";"529";"";"DsTronco";"BACO_TIPO";
"115";"PhiDBEdit120";"TDBEdit";"sbTronco";"741";"741";"21";"101";"";"DsTronco";"BACO_TEMPO";
"116";"PhiDBEdit122";"TDBEdit";"sbTronco";"741";"741";"225";"101";"";"DsTronco";"ASMA_TEMPO";
"117";"PhiDBEdit124";"TDBEdit";"sbTronco";"130";"130";"225";"529";"";"DsTronco";"ASMA_TIPO";
"118";"DBCheckBox225";"TDBCheckBox";"sbTronco";"16";"16";"234";"71";"asma /";"DsTronco";"ASMA";
"9";"TabPelveMembrosInferiores";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Pelve / Membros Inferiores";"";"";
"10";"sbPelves";"TScrollBox";"TabPelveMembrosInferiores";"0";"0";"0";"1890";"";"";"";
"11";"Label31";"TLabel";"sbPelves";"5";"5";"1207";"169";"Observação (4000 char)";"";"";
"12";"GroupBox1";"TGroupBox";"sbPelves";"5";"5";"-533";"840";"Geral";"";"";
"13";"Label33";"TLabel";"GroupBox1";"694";"694";"20";"44";"tempo";"";"";
"14";"Label34";"TLabel";"GroupBox1";"694";"694";"48";"44";"tempo";"";"";
"15";"Label35";"TLabel";"GroupBox1";"35";"35";"109";"32";"local";"";"";
"16";"Label37";"TLabel";"GroupBox1";"104";"104";"273";"32";"local";"";"";
"17";"Label38";"TLabel";"GroupBox1";"34";"34";"309";"26";"tipo";"";"";
"18";"Label39";"TLabel";"GroupBox1";"691";"691";"273";"44";"tempo";"";"";
"19";"Label40";"TLabel";"GroupBox1";"99";"99";"351";"32";"local";"";"";
"20";"Label41";"TLabel";"GroupBox1";"34";"34";"381";"26";"tipo";"";"";
"21";"Label42";"TLabel";"GroupBox1";"691";"691";"351";"44";"tempo";"";"";
"22";"Label43";"TLabel";"GroupBox1";"104";"104";"418";"32";"local";"";"";
"23";"Label44";"TLabel";"GroupBox1";"34";"34";"448";"26";"tipo";"";"";
"24";"Label45";"TLabel";"GroupBox1";"691";"691";"418";"44";"tempo";"";"";
"25";"Label48";"TLabel";"GroupBox1";"129";"129";"570";"44";"tempo";"";"";
"26";"Label50";"TLabel";"GroupBox1";"163";"163";"478";"26";"tipo";"";"";
"27";"Label51";"TLabel";"GroupBox1";"139";"139";"509";"26";"tipo";"";"";
"28";"Label36";"TLabel";"GroupBox1";"130";"130";"212";"44";"tempo";"";"";
"29";"DBCheckBox132";"TDBCheckBox";"GroupBox1";"8";"8";"21";"97";"dores SI";"DsPelve";"DORSI";
"30";"DBCheckBox133";"TDBCheckBox";"GroupBox1";"260";"260";"21";"41";"D";"DsPelve";"DORSI_D";
"31";"DBCheckBox134";"TDBCheckBox";"GroupBox1";"324";"324";"21";"120";"E";"DsPelve";"DORSI_E";
"32";"DBCheckBox135";"TDBCheckBox";"GroupBox1";"383";"383";"21";"78";"bilateral";"DsPelve";"DORSI_BILATERAL";
"33";"DBCheckBox137";"TDBCheckBox";"GroupBox1";"8";"8";"49";"97";"ciatalgias";"DsPelve";"CIATALGIA";
"34";"DBCheckBox138";"TDBCheckBox";"GroupBox1";"260";"260";"49";"41";"D";"DsPelve";"CIATALGIA_D";
"35";"DBCheckBox139";"TDBCheckBox";"GroupBox1";"324";"324";"49";"45";"E";"DsPelve";"CIATALGIA_E";
"36";"DBCheckBox140";"TDBCheckBox";"GroupBox1";"383";"383";"49";"78";"bilateral";"DsPelve";"CIATALGIA_BILATERAL";
"37";"DBCheckBox141";"TDBCheckBox";"GroupBox1";"521";"521";"49";"64";"L5";"DsPelve";"CIATALGIA_L5";
"38";"DBCheckBox142";"TDBCheckBox";"GroupBox1";"8";"8";"80";"120";"parestesias";"DsPelve";"PARESTESIA";
"39";"DBCheckBox143";"TDBCheckBox";"GroupBox1";"260";"260";"80";"41";"D";"DsPelve";"PARESTESIA_D";
"40";"DBCheckBox144";"TDBCheckBox";"GroupBox1";"324";"324";"80";"120";"E";"DsPelve";"PARESTESIA_E";
"41";"DBCheckBox145";"TDBCheckBox";"GroupBox1";"383";"383";"80";"78";"bilateral /";"DsPelve";"PARESTESIA_BILATERAL";
"42";"DBCheckBox147";"TDBCheckBox";"GroupBox1";"8";"8";"152";"174";"dores em coxofemual";"DsPelve";"DORCOXOFEMUAL";
"43";"DBCheckBox148";"TDBCheckBox";"GroupBox1";"260";"260";"152";"41";"D";"DsPelve";"DORCOXOFEMUAL_D";
"44";"DBCheckBox149";"TDBCheckBox";"GroupBox1";"324";"324";"152";"120";"E";"DsPelve";"DORCOXOFEMUAL_E";
"45";"DBCheckBox150";"TDBCheckBox";"GroupBox1";"383";"383";"152";"78";"bilateral";"DsPelve";"DORCOXOFEMUAL_BILATERAL";
"46";"DBCheckBox157";"TDBCheckBox";"GroupBox1";"8";"8";"243";"135";"dores em joelho";"DsPelve";"DORJOELHO";
"47";"DBCheckBox158";"TDBCheckBox";"GroupBox1";"260";"260";"243";"41";"D";"DsPelve";"DORJOELHO_D";
"48";"DBCheckBox159";"TDBCheckBox";"GroupBox1";"324";"324";"243";"120";"E";"DsPelve";"DORJOELHO_E";
"49";"DBCheckBox160";"TDBCheckBox";"GroupBox1";"383";"383";"243";"78";"bilateral";"DsPelve";"DORJOELHO_BILATERAL";
"50";"DBCheckBox162";"TDBCheckBox";"GroupBox1";"8";"8";"274";"97";"cirurgias /";"DsPelve";"CIRURGIA";
"51";"DBCheckBox167";"TDBCheckBox";"GroupBox1";"8";"8";"352";"89";"fraturas /";"DsPelve";"FRATURA";
"52";"PhiDBEdit50";"TDBEdit";"GroupBox1";"743";"743";"12";"83";"";"DsPelve";"DORSI_BILATERAL_TEMPO";
"53";"DBCheckBox86";"TDBCheckBox";"GroupBox1";"639";"639";"49";"48";"S1 /";"DsPelve";"CIATALGIA_SI";
"54";"PhiDBEdit51";"TDBEdit";"GroupBox1";"743";"743";"40";"83";"";"DsPelve";"CIATALGIA_SI_TEMPO";
"55";"PhiDBEdit52";"TDBEdit";"GroupBox1";"76";"76";"101";"749";"";"DsPelve";"PARESTESIA_BILATERAL_LOCAL";
